iter,timestamp,n_games,rollout_seconds,n_actions,mean_turns,s1_wins,s2_wins,draws,action_recruit_pct,action_move_pct,action_attack_pct,action_end_turn_pct,action_other_pct,mean_units_end_s1,mean_units_end_s2,closest_approach_s1,closest_approach_s2,train_n_trajectories,train_n_transitions,train_loss,train_policy_loss,train_value_loss,train_entropy,train_mean_return,train_grad_norm,r_gold_killed,r_village_delta,r_damage_dealt,r_unit_recruited_cost,r_per_turn_penalty,r_leader_move_penalty,r_invalid_action,r_min_enemy_distance,r_approach_mp,r_unused_mp,r_fog_reveal,r_attack_attempt,r_unit_type_bonus,r_turn_cond_bonus,r_terminal,mean_end_gold_s1,mean_end_gold_s2,n_recruits_s1,n_recruits_s2,n_recruit_attempts_s1,n_recruit_attempts_s2
0,2026-05-21T08:40:37,6,102.34640676248819,3057,201.0,0,0,6,2.289826627412496,96.10729473339876,0.0,1.602878639188747,0.0,5.333333333333333,8.333333333333334,18.0,18.0,12,3057,-3.0222691307857117,-4.775406998218358,3.5136983186821453,3.7112919084261193,0.07315009087324142,55.369754791259766,,0.49999999999999994,,1.0750000000000006,,-0.2900000000000001,,,0.6800000000000005,,2.1409283456058446,,,,,-230.0,177.66666666666666,26,44,26,44
1,2026-05-21T08:43:31,8,108.11642040684819,4048,201.0,0,0,8,2.099802371541502,92.81126482213439,0.0741106719367589,5.014822134387352,0.0,5.625,7.0,21.25,20.0,16,4000,-2.0331064094443363,-3.753328784211213,3.447508459154051,3.5318548101487295,0.0629192516207695,50.2805061340332,,0.7000000000000001,,1.3589999999999995,,-1.280000000000001,,,0.7600000000000005,,2.5053198404941996,0.015,,,,-141.125,371.875,37,48,37,48
2,2026-05-21T08:46:57,8,141.80249614920467,3816,201.0,0,0,8,2.3846960167714886,96.98637316561845,0.0,0.6289308176100629,0.0,5.75,7.625,23.125,24.375,16,3816,-6.310597013562309,-7.9819960640780065,3.350781230838038,3.991564903321432,0.05997491627931595,44.727394104003906,,0.35,,1.443999999999999,,-0.5000000000000002,,,0.9000000000000006,,2.3069895802309026,,,,,-327.125,88.25,38,53,38,53
3,2026-05-21T08:50:07,8,133.46313988883048,3878,201.0,0,0,8,2.2434244455905104,96.0804538421867,0.6446621970087674,1.0314595152140278,0.0,5.625,7.25,19.75,20.5,16,3878,-1.002147698647353,-2.66884438448956,3.3405501232482493,3.5783757819174298,0.05316917598247528,42.783302307128906,,0.3,,1.3449999999999998,,-0.4300000000000002,,,0.9200000000000006,,2.2547408831216647,0.12500000000000003,,,,-359.0,-98.625,37,50,37,50
4,2026-05-21T08:53:09,7,135.12557738926262,3438,201.0,0,0,7,2.7050610820244327,95.98603839441536,0.0,1.3089005235602094,0.0,6.142857142857143,9.142857142857142,23.857142857142858,24.714285714285715,14,3438,-2.9635039234801,-4.69152485273311,3.463809384673368,3.883763083674239,0.05314965918660164,33.64733123779297,,0.2,,1.4579999999999989,,-0.9800000000000006,,,1.1000000000000005,,2.0668146652953925,,,,,-454.0,-26.428571428571427,36,57,36,57
5,2026-05-21T08:55:32,7,104.62741949688643,3370,201.0,0,0,7,2.255192878338279,96.82492581602374,0.11869436201780416,0.8011869436201781,0.0,5.428571428571429,7.428571428571429,20.714285714285715,21.428571428571427,14,3370,-3.588476771407887,-5.289915001995297,3.40975564828841,3.4395935567952165,0.070030078291893,59.77764129638672,,0.44999999999999996,,1.1650000000000003,,-0.2700000000000001,,,0.8900000000000006,,2.468899738973273,0.02,,,,58.42857142857143,-82.42857142857143,31,45,31,45
6,2026-05-21T08:58:02,6,115.56436824798584,3180,201.0,0,0,6,2.4213836477987423,95.75471698113208,0.0,1.8238993710691824,0.0,7.333333333333333,7.5,17.333333333333332,19.166666666666668,12,3180,-3.9693208887610343,-5.649851551983332,3.3687284270999953,3.833550327699868,0.057447656989097595,27.89044189453125,,0.39999999999999997,,1.2430000000000003,,-0.7800000000000005,,,0.6800000000000005,,2.096509501035111,,,,,-290.5,-57.166666666666664,38,39,38,39
7,2026-05-21T09:00:32,6,113.68866125680506,2964,201.0,0,0,6,2.42914979757085,96.32253711201079,0.0,1.2483130904183535,0.0,6.333333333333333,7.666666666666667,18.5,20.5,12,2964,-4.7811741557766005,-6.507066640839156,3.459484994295053,3.8500120849712403,0.06862427294254303,44.51628112792969,,0.49999999999999994,,1.135,,-0.5600000000000003,,,0.7300000000000004,,2.0631002823804834,,,,,-75.33333333333333,26.166666666666668,32,40,32,40
8,2026-05-21T09:03:23,7,118.97674784995615,3596,201.0,0,0,7,2.252502780867631,95.66184649610679,0.0,2.085650723025584,0.0,5.428571428571429,8.142857142857142,21.857142857142858,20.571428571428573,14,3596,-1.7339217998672896,-3.4866183218793196,3.5122066710609943,3.406813518467004,0.055221665650606155,32.6168327331543,,0.7500000000000001,,1.2799999999999994,,-1.6800000000000013,,,0.7800000000000005,,2.3318695317277816,,,,,-9.857142857142858,262.7142857142857,31,50,31,50
9,2026-05-21T09:06:42,8,143.5222891094163,4082,201.0,0,0,8,2.6702596766291036,95.56589906908378,0.0,1.7638412542871142,0.0,6.625,9.0,21.5,22.375,16,4000,-7.232429477175166,-8.975315131659599,3.493652797595132,3.9407443131326545,0.07580212503671646,36.8884391784668,,0.8000000000000002,,1.756999999999998,,-0.5000000000000002,,,1.0600000000000007,,2.798559286972272,,,,,-89.75,50.375,45,64,45,64
