diff_replay: 17039 replays, 17039 clean, 0 with divergences
  diff_replay: 727 replays, 727 clean, 0 with divergence(s)
  diff_replay: 718 replays, 718 clean, 0 with divergence(s)
  diff_replay: 726 replays, 726 clean, 0 with divergence(s)
  diff_replay: 724 replays, 724 clean, 0 with divergence(s)
  diff_replay: 726 replays, 726 clean, 0 with divergence(s)
  diff_replay: 728 replays, 728 clean, 0 with divergence(s)
  diff_replay: 725 replays, 725 clean, 0 with divergence(s)
  diff_replay: 723 replays, 723 clean, 0 with divergence(s)
  diff_replay: 714 replays, 714 clean, 0 with divergence(s)
  diff_replay: 710 replays, 710 clean, 0 with divergence(s)
  diff_replay: 712 replays, 712 clean, 0 with divergence(s)
  diff_replay: 714 replays, 714 clean, 0 with divergence(s)
