file,z1,l_hp,l_cost,n_measured,n_bailed
2024-05-17_2p_mini_edited_Turn_7_(28114).json.gz,1.0,12.456400000000002,15.570799999999998,14,7
2024-06-04_2p_mini_edited_Turn_15_(39720).json.gz,-1.0,-27.406979999999997,8.826699999999995,30,12
2025-06-15_2p_-_Micro_Isar_Turn_9_(128817).json.gz,1.0,38.21615000000001,4.029299999999992,25,6
2024-05-06_2p_mini_edited_Turn_7_(21127).json.gz,1.0,27.688,13.428399999999998,17,2
2024-10-29_2p__Sullas_Ruins_Turn_11_(13400).json.gz,-1.0,-64.39996319999999,8.858603200000006,41,3
2024-05-09_2p_mini_edited_Turn_80_(23044).json.gz,1.0,49.65815682792018,1.7805672257921086,83,57
2025-08-30_2p_-_Micro_Isar_Turn_8_(188136).json.gz,-1.0,-13.252700000000003,-55.390800000000006,33,6
2024-05-01_2p_mini_edited_Turn_12_(17338).json.gz,1.0,14.522000000000016,-0.10799999999999876,34,4
2025-03-17_2p__Howling_Ghost_Badlands_Turn_12_(57916).json.gz,1.0,11.693389999999992,5.251110000000006,60,3
2024-07-22_2p__Hamlets_Turn_17_(15458).json.gz,1.0,-27.188986000000007,-68.8082,77,9
2025-08-23_2p__Tombs_of_Kesorak_Turn_14_(182479).json.gz,-1.0,-123.98751054245739,-35.2541384422025,70,2
2024-04-30_2p_mini_edited_Turn_6_(16730).json.gz,1.0,20.796954745819562,8.115922513524444,15,3
2025-11-28_2p__Sablestone_Delta_Turn_7_(16523).json.gz,1.0,29.107112120122256,21.362045716319315,15,6
2025-10-22_2p__Caves_of_the_Basilisk_Turn_22_(227794).json.gz,1.0,-53.60466639999999,-57.76766576000002,85,11
2024-05-15_2p_mini_edited_Turn_6_(26977).json.gz,1.0,30.886200000000006,18.261,17,1
2024-11-25_2p__Caves_of_the_Basilisk_Turn_15_(19780).json.gz,-1.0,-29.652903999999996,-45.844392000000006,61,14
2024-10-27_2p__Caves_of_the_Basilisk_Turn_17_(11162).json.gz,1.0,46.31840000000002,22.56360000000003,54,0
2024-04-29_2p_mini_edited_Turn_16_(15975).json.gz,1.0,23.591047912514473,-1.6519588822449656,45,10
2024-07-08_2p_mini_edited_Turn_5_(6581).json.gz,-1.0,-16.388399999999997,8.36816,14,0
2025-01-28_2p__Caves_of_the_Basilisk_Turn_15_(16382).json.gz,-1.0,-19.06174,-64.1365,63,3
2024-06-01_2p_mini_edited_Turn_9_(38017).json.gz,-1.0,-51.50457,25.55197,26,5
2025-11-04_2p__Fallenstar_Lake_Turn_20_(236163).json.gz,-1.0,-15.856566074679693,19.532799516309417,119,23
2024-05-07_2p_mini_edited_Turn_17_(21689).json.gz,1.0,-3.5780095999999983,40.918608,52,20
2024-06-29_2p__Fallenstar_Lake_Turn_13_(576).json.gz,1.0,49.25206760573377,6.330998943149954,42,3
2026-07-22_2p__Hellhole_Turn_18_(49543).json.gz,1.0,9.52240799999999,-21.61106400000001,106,21
2024-10-19_2p__Aethermaw_Turn_19_(5192).json.gz,-1.0,-160.00169999999997,-55.67649999999999,69,15
2024-04-23_2p_mini_edited_Turn_18_(11946).json.gz,-1.0,25.451249999999987,-14.582999999999998,43,14
2024-05-30_2p_mini_edited_Turn_7_(36171).json.gz,-1.0,28.623217599999993,8.2368496,25,1
2024-06-07_2p_mini_edited_Turn_6_(41862).json.gz,1.0,43.155332,17.874699999999997,18,0
2024-05-10_2p_mini_edited_Turn_10_(23728).json.gz,-1.0,19.10177680000001,-9.878460800000001,24,4
2024-05-07_2p_mini_edited_Turn_7_(21669).json.gz,1.0,-3.3698,-2.2773000000000074,23,3
2024-10-03_2p_-_Micro_Isar_Turn_12_(43049).json.gz,1.0,17.598800000000004,-1.4208000000000016,28,11
2025-10-24_2p__Hamlets_Turn_17_(229178).json.gz,1.0,-9.620795626337813,20.317161283594,65,17
2024-07-18_2p_mini_edited_Turn_6_(12677).json.gz,1.0,4.682750000000002,-11.4725,16,2
2024-06-23_2p_mini_edited_Turn_7_(52595).json.gz,1.0,29.5069232,-1.66704,19,4
2025-02-21_2p__Aethermaw_Turn_12_(37867).json.gz,-1.0,-20.646715660000005,-9.663711420000002,29,4
2026-01-24_2p_-_Micro_Isar_Turn_7_(66815).json.gz,1.0,-1.7686000000000046,-10.975100000000001,25,3
2025-06-08_2p__Ruphus_Isle_Turn_11_(122841).json.gz,-1.0,-58.360336000000004,2.0066207999999897,44,9
2025-02-09_2p_-_Micro_Isar_Turn_6_(26957).json.gz,1.0,36.55864400000001,56.421428,12,1
2024-12-07_2p_-_Micro_Isar_Turn_9_(3086).json.gz,1.0,1.0067999999999961,13.058700000000009,23,2
2025-04-23_2p__Weldyn_Channel_Turn_8_(86927).json.gz,-1.0,40.24081485240649,18.78970138148443,21,2
2024-07-23_2p_mini_edited_Turn_10_(16633).json.gz,-1.0,-72.17888000000002,-49.93344,33,2
2026-05-15_2p__Caves_of_the_Basilisk_Turn_13_(2255).json.gz,-1.0,27.66959999999999,10.262299999999994,54,14
2025-10-28_2p__Howling_Ghost_Badlands_Turn_6_(231879).json.gz,-1.0,4.383102541455118,-28.31855424213588,13,1
2024-08-29_2p__Hamlets_Turn_21_(16011).json.gz,1.0,35.35970000000002,21.533499999999997,51,1
2024-06-11_2p_mini_edited_Turn_6_(44627).json.gz,1.0,5.086000000000006,33.585734,19,1
2024-09-07_2p__Hamlets_Turn_12_(22186).json.gz,-1.0,11.677779999999979,14.221939999999998,67,15
2025-06-25_2p__Ruined_Passage_Turn_23_(137086).json.gz,-1.0,89.05357999999997,41.46059999999999,105,31
2026-06-20_2p__Den_of_Onis_Turn_13_(27426).json.gz,1.0,-21.309596000000003,18.82888000000001,30,4
2025-11-12_2p__Den_of_Onis_Turn_17_(3896).json.gz,-1.0,9.002879999999973,16.646799999999995,66,9
2025-03-01_2p__Hamlets_Turn_23_(44546).json.gz,1.0,107.36820905511546,-27.12588620157137,61,6
2026-02-25_2p__Fallenstar_Lake_Turn_8_(96477).json.gz,1.0,35.39384000000001,23.40512,15,0
2026-06-15_2p__Aethermaw_Turn_10_(24284).json.gz,1.0,-5.159799999999999,-16.056299999999993,23,0
2025-04-27_2p__Fallenstar_Lake_Turn_16_(89922).json.gz,1.0,-4.993058400000011,-46.3150801,79,7
2026-01-11_2p__Hornshark_Island_Turn_8_(54531).json.gz,1.0,36.04520000000002,41.77900000000001,31,0
2025-01-26_2p_-_Micro_Isar_Turn_7_(14383).json.gz,-1.0,-16.79330000000001,1.208500000000008,17,2
2024-04-24_2p_mini_edited_Turn_5_(12496).json.gz,1.0,-3.803844,17.916054400000004,17,3
2024-05-23_2p_mini_edited_Turn_9_(31970).json.gz,1.0,50.698238004108035,5.831433296027226,27,1
2025-03-01_2p_-_Micro_Isar_Turn_7_(44874).json.gz,1.0,19.24994560000001,46.515544000000006,26,1
2025-04-19_2p__Ruphus_Isle_Turn_11_(83961).json.gz,1.0,31.35902,59.529712,36,2
2024-08-28_2p__Hamlets_Turn_16_(15663).json.gz,-1.0,-60.843472000000006,-73.83151999999998,41,15
2024-12-01_2p_-_Micro_Isar_Turn_14_(24571).json.gz,1.0,5.06825999999999,2.876400000000002,42,5
2024-05-27_2p__Weldyn_Channel_Turn_17_(34151).json.gz,-1.0,-17.170280000000012,-17.689420000000002,79,10
2025-02-09_2p__Hamlets_Turn_29_(27751).json.gz,1.0,-41.07759999999999,-46.103,78,7
2024-05-08_2p_mini_edited_Turn_7_(22574).json.gz,1.0,0.47790000000000354,2.4890000000000008,15,8
2025-02-23_2p__Clearing_Gushes_Turn_13_(39755).json.gz,1.0,38.47424959999999,-9.721072799999984,53,3
2026-01-03_2p_-_Micro_Isar_Turn_5_(47863).json.gz,1.0,12.428655999999998,2.5689600000000024,18,1
2025-01-23_2p__Hamlets_Turn_14_(11113).json.gz,-1.0,-27.63835954634588,-20.442320918923294,43,4
2025-05-10_2p__Weldyn_Channel_Turn_15_(100356).json.gz,1.0,63.78396000000001,55.38710000000001,86,8
2026-06-21_2p_-_Micro_Isar_Turn_5_(28130).json.gz,1.0,24.924600000000005,12.276000000000002,17,1
2026-01-31_2p__Hamlets_Turn_19_(73395).json.gz,1.0,35.4283936,43.9051432,60,14
2024-05-13_2p_mini_edited_Turn_8_(25685).json.gz,-1.0,-62.15656,-38.0519,20,3
2024-05-18_2p__Caves_of_the_Basilisk_Turn_15_(28937).json.gz,-1.0,24.45110656,-41.160556799999995,52,2
2024-06-23_2p_mini_edited_Turn_8_(52685).json.gz,-1.0,24.163026553762627,-4.6769385650879105,22,5
2025-10-22_2p__Caves_of_the_Basilisk_Turn_15_(227940).json.gz,1.0,15.933105599999994,-11.462017600000008,88,9
2024-08-03_2p__Hamlets_Turn_56_(1159).json.gz,1.0,118.33886260980078,-119.05770634776214,221,50
2025-05-28_2p__Ruphus_Isle_Turn_17_(114037).json.gz,-1.0,18.16400000000001,12.047240000000002,69,12
2024-08-08_2p_mini_edited_Turn_6_(1190).json.gz,1.0,14.93047999999999,-34.61554000000001,15,4
2024-06-23_2p__Hamlets_Turn_9_(52553).json.gz,-1.0,34.016208,2.933167999999995,33,2
2026-06-09_2p__Howling_Ghost_Badlands_Turn_20_(19357).json.gz,1.0,-102.07649900000001,-36.700320000000005,102,19
2025-07-27_2p__Hamlets_Turn_16_(159917).json.gz,1.0,45.53596000000001,18.83104000000001,77,11
2025-05-03_2p__Hamlets_Turn_10_(95270).json.gz,1.0,1.1727800000000101,-8.252199999999991,26,0
2024-04-12_2p__Caves_of_the_Basilisk_Turn_23_(5158).json.gz,1.0,-57.31954999999998,2.151500000000002,109,15
2026-02-13_2p__Weldyn_Channel_Turn_17_(85604).json.gz,1.0,50.02239999999998,8.986000000000004,65,10
2024-12-06_2p__Caves_of_the_Basilisk_Turn_15_(2113).json.gz,-1.0,-48.946624000000014,-17.76002000000002,53,4
2025-08-31_2p__Weldyn_Channel_Turn_5_(188794).json.gz,-1.0,15.9088,-10.038000000000002,10,1
2025-08-14_2p__Hamlets_Turn_12_(174455).json.gz,-1.0,7.4004,3.4052000000000007,29,1
2026-06-20_2p__Ruphus_Isle_Turn_20_(26887).json.gz,1.0,-20.683236369348787,-32.30447635499837,78,9
2024-05-07_2p_mini_edited_Turn_14_(21732).json.gz,-1.0,9.836072000000016,-42.431044,44,8
2024-10-23_2p__The_Freelands_Turn_14_(8128).json.gz,-1.0,-34.472658400000014,72.9862344,47,7
2025-01-25_2p__Swamp_of_Dread_Turn_25_(12889).json.gz,1.0,88.97811999999999,53.54199200000002,104,7
