21:59:28 INFO explicit --jobs 10 (auto would pick: cpu 17.6->8, ram 91544MB->45, vram 24077MB->40 => jobs 8)
21:59:28 INFO 0 results done, 0 no-result (replacements used 0/0), 40 pending, 10 concurrent, device=cuda
21:59:28 INFO persistent workers: up to 10 elo_eval_game --worker processes, policies cached across games
22:00:19 INFO game 7 done in 0.8 min, peak_rss 1333MB (results=1/40 no_result=0 failed=0, 30 pending, 9 in flight)
22:00:21 INFO game 2 done in 0.9 min, peak_rss 1351MB (results=2/40 no_result=0 failed=0, 29 pending, 9 in flight)
22:00:23 INFO game 0 done in 0.9 min, peak_rss 1352MB (results=3/40 no_result=0 failed=0, 28 pending, 9 in flight)
22:00:23 INFO game 6 done in 0.9 min, peak_rss 1351MB (results=4/40 no_result=0 failed=0, 28 pending, 8 in flight)
22:00:25 INFO game 1 done in 0.9 min, peak_rss 1341MB (results=5/40 no_result=0 failed=0, 26 pending, 9 in flight)
22:00:25 INFO game 3 done in 0.9 min, peak_rss 1381MB (results=6/40 no_result=0 failed=0, 26 pending, 8 in flight)
22:00:25 INFO game 5 done in 0.9 min, peak_rss 1361MB (results=7/40 no_result=0 failed=0, 26 pending, 7 in flight)
22:00:29 INFO game 4 done in 1.0 min, peak_rss 1363MB (results=8/40 no_result=0 failed=0, 23 pending, 9 in flight)
22:00:29 INFO game 8 done in 1.0 min, peak_rss 1353MB (results=9/40 no_result=0 failed=0, 23 pending, 8 in flight)
22:00:29 INFO game 9 done in 1.0 min, peak_rss 1351MB (results=10/40 no_result=0 failed=0, 23 pending, 7 in flight)
22:00:31 INFO game 10 done in 0.2 min, peak_rss 1359MB (results=11/40 no_result=0 failed=0, 20 pending, 9 in flight)
22:00:31 INFO game 13 done in 0.1 min, peak_rss 1361MB (results=12/40 no_result=0 failed=0, 20 pending, 8 in flight)
22:00:35 INFO game 15 done in 0.2 min, peak_rss 1396MB (results=13/40 no_result=0 failed=0, 18 pending, 9 in flight)
22:00:39 INFO game 14 done in 0.2 min, peak_rss 1359MB (results=14/40 no_result=0 failed=0, 17 pending, 9 in flight)
22:00:43 INFO game 16 done in 0.3 min, peak_rss 1372MB (results=15/40 no_result=0 failed=0, 16 pending, 9 in flight)
22:00:43 INFO game 19 done in 0.2 min, peak_rss 1362MB (results=16/40 no_result=0 failed=0, 16 pending, 8 in flight)
22:00:47 INFO game 17 done in 0.3 min, peak_rss 1372MB (results=17/40 no_result=0 failed=0, 14 pending, 9 in flight)
22:00:47 INFO game 18 done in 0.3 min, peak_rss 1369MB (results=18/40 no_result=0 failed=0, 14 pending, 8 in flight)
22:00:49 INFO game 22 done in 0.2 min, peak_rss 1415MB (results=19/40 no_result=0 failed=0, 12 pending, 9 in flight)
22:00:49 INFO game 23 done in 0.2 min, peak_rss 1393MB (results=20/40 no_result=0 failed=0, 12 pending, 8 in flight)
22:00:53 INFO game 20 done in 0.4 min, peak_rss 1379MB (results=21/40 no_result=0 failed=0, 10 pending, 9 in flight)
22:00:57 INFO game 24 done in 0.2 min, peak_rss 1377MB (results=22/40 no_result=0 failed=0, 9 pending, 9 in flight)
22:00:57 INFO game 25 done in 0.2 min, peak_rss 1375MB (results=23/40 no_result=0 failed=0, 9 pending, 8 in flight)
22:00:59 INFO game 11 done in 0.6 min, peak_rss 1390MB (results=24/40 no_result=0 failed=0, 7 pending, 9 in flight)
22:00:59 INFO game 26 done in 0.2 min, peak_rss 1419MB (results=25/40 no_result=0 failed=0, 7 pending, 8 in flight)
22:00:59 INFO game 27 done in 0.2 min, peak_rss 1372MB (results=26/40 no_result=0 failed=0, 7 pending, 7 in flight)
22:01:03 INFO game 12 done in 0.7 min, peak_rss 1366MB (results=27/40 no_result=0 failed=0, 4 pending, 9 in flight)
22:01:05 INFO game 29 done in 0.3 min, peak_rss 1421MB (results=28/40 no_result=0 failed=0, 3 pending, 9 in flight)
22:01:07 INFO game 21 done in 0.6 min, peak_rss 1368MB (results=29/40 no_result=0 failed=0, 2 pending, 9 in flight)
22:01:07 INFO game 33 done in 0.1 min, peak_rss 1398MB (results=30/40 no_result=0 failed=0, 2 pending, 8 in flight)
22:01:13 INFO game 36 done in 0.2 min, peak_rss 1371MB (results=31/40 no_result=0 failed=0, 0 pending, 9 in flight)
22:01:15 INFO game 28 done in 0.4 min, peak_rss 1425MB (results=32/40 no_result=0 failed=0, 0 pending, 8 in flight)
22:01:15 INFO game 30 done in 0.4 min, peak_rss 1399MB (results=33/40 no_result=0 failed=0, 0 pending, 7 in flight)
22:01:15 INFO game 31 done in 0.3 min, peak_rss 1383MB (results=34/40 no_result=0 failed=0, 0 pending, 6 in flight)
22:01:15 INFO game 32 done in 0.3 min, peak_rss 1393MB (results=35/40 no_result=0 failed=0, 0 pending, 5 in flight)
22:01:15 INFO game 35 done in 0.3 min, peak_rss 1379MB (results=36/40 no_result=0 failed=0, 0 pending, 4 in flight)
22:01:15 INFO game 39 done in 0.1 min, peak_rss 1370MB (results=37/40 no_result=0 failed=0, 0 pending, 3 in flight)
22:01:17 INFO game 38 done in 0.2 min, peak_rss 1417MB (results=38/40 no_result=0 failed=0, 0 pending, 2 in flight)
22:01:21 INFO game 34 done in 0.4 min, peak_rss 1450MB (results=39/40 no_result=0 failed=0, 0 pending, 1 in flight)
22:01:25 INFO game 37 done in 0.3 min, peak_rss 1438MB (results=40/40 no_result=0 failed=0, 0 pending, 0 in flight)
22:01:38 INFO chunk end: 40/40 RESULTS (0 no-result absences, replacements 0/0; 40 files) in /workspace/bench/sweep_t05 (this chunk: 40 played, 0 failed)
